,Name,Team,Sample 0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Mean,Std,Median,5th,16th,84th,95th
292,Nathan O'Driscoll,Fremantle,0.30968008267338826,0.4098252147379681,0.378543949024278,0.4369002124289941,0.30492801903157185,0.3275120958021841,0.35308282740701297,0.3587984140822681,0.3783437129923271,0.34359045837265345,0.32110720024638045,0.3565738351635479,0.04171227036247373,0.35308282740701297,0.3070664476703892,0.31642208204145367,0.391369267966891,0.4247164634680324
303,Sam Switkowski,Fremantle,0.32897541656396073,0.35036907472496603,0.36067172440348677,0.37969416248707866,0.2835665954829709,0.32863214304137467,0.32965407531305674,0.39021793736876675,0.3633093282643156,0.39490856629754556,0.32883438739184334,0.34898485557630604,0.03312066575308124,0.35036907472496603,0.3038460918842526,0.3287514672081512,0.38400891018857075,0.3927977832795951
296,Heath Chapman,Fremantle,0.3483328791546238,0.3111139888103761,0.36940918985766846,0.3791669562526359,0.31707690439557756,0.3378731595343956,0.35507342946244025,0.29954698454268475,0.39172652010533093,0.3198190203511178,0.3313898432122937,0.34186626142537685,0.02969034068237655,0.3378731595343956,0.30475213646314586,0.314632109005645,0.37340987407960513,0.38607471637161817
287,Isaiah Dudley,Fremantle,0.16677263926794542,0.2303174109139373,0.2666671274865572,0.23120733271818478,0.19222564584873805,0.1687749012368068,0.24862118907164849,0.2608226783269322,0.25695210292679205,0.2565736727861623,0.21537335598977922,0.22675527787031668,0.036533054527194325,0.23120733271818478,0.16767365715393304,0.18261084055784624,0.2585390388408495,0.2640371253647259
464,Brennan Cox,Fremantle,0.18889850283793247,0.222565470876208,0.20581971399818327,0.19632158168534644,0.2032218745739983,0.16740706004012343,0.21629427300131418,0.2067298172301676,0.2094648040782942,0.21200312535146704,0.18458168060381486,0.20120980947971362,0.01587009643862058,0.20581971399818327,0.17513563929378456,0.18712860572194426,0.21376249588790436,0.21974343183250578
306,Corey Wagner,Fremantle,0.1431512931502267,0.15404897928758915,0.14716570887154765,0.1883922974202822,0.10655239231643039,0.1437355382190472,0.13102020120249175,0.13246240320651162,0.15828713834247654,0.1520915296100356,0.15203274681707593,0.14626729349488318,0.020159260963541127,0.14716570887154765,0.117562906315158,0.13187110038486347,0.15578662450009298,0.17484497583526962
293,Judd McVee,Fremantle,0.09773431529395843,0.13421328308851005,0.13562519611858448,0.14691662091728896,0.09620008733536368,0.1007031133411904,0.10108719457264019,0.10857687934553041,0.16977981892999525,0.10197438695669804,0.09128845214296806,0.11673630436752071,0.025697381611284337,0.10197438695669804,0.0934986879795461,0.09710528183093459,0.1402546802860533,0.15949137982427739
536,Mason Cox,Fremantle,0.03559987271797666,0.06175628763648376,0.0847649982800394,0.023917420461522218,0.2137423220332974,0.031445765276637005,0.047353616563306,0.07793920661402919,0.09713623099638566,0.04694172944997124,0.04580221824436364,0.06967269711581929,0.05307496944993456,0.047353616563306,0.027305175628323873,0.0338966886670274,0.08983720369374137,0.16126958106668698
462,Jaeger OMeara,Fremantle,0.021862655277861045,0.04310240298258798,0.035888745143508365,0.05132404452628069,0.02424307881808709,0.017446527659639062,0.024115097181196997,0.02648787813481485,0.04599133376756259,0.03580435318633283,0.024293605791650852,0.03186906567904749,0.011173760166776958,0.02648787813481485,0.019433785087838953,0.023191596000829255,0.04428686460442757,0.048924324684857544
305,Sean Darcy,Fremantle,0.008425562756360147,0.020132802737281796,0.016492857608293707,0.006450239627307041,0.06832401987779992,0.012690384027860149,0.0025452999638597195,0.039467044758198136,0.02523477956289662,0.013365097485589889,0.009747024615004745,0.020261373910950172,0.018915474958153083,0.013365097485589889,0.004302522812411014,0.007615680273448374,0.031070008292970245,0.055338381073979086
